Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
Seattle U,4,21,0.16,89,98,1.1,898,10.09,48,248,1.93,1165,13.09,995,509,2955,0.164,995,11.18,98,1.10,1165,13.09
Seton Hall,14,18,0.438,115,135,1.17,1278,11.11,37,452,2.29,1770,15.39,1391,543,3987,0.213,1391,12.1,135,1.17,1770,15.39
SFA,19,10,0.655,103,145,1.41,1221,11.85,63,379,2.45,1638,15.9,1329,464,3713,0.233,1329,12.9,145,1.41,1638,15.90
Siena,7,23,0.233,113,156,1.38,1228,10.87,28,334,1.73,1555,13.76,1379,606,4017,0.192,1379,12.2,156,1.38,1555,13.76
SIUE,6,23,0.207,110,136,1.24,1071,9.74,55,348,2.08,1395,12.68,1156,588,3550,0.16,1156,10.51,136,1.24,1395,12.68
SMU,18,12,0.6,114,110,0.96,1404,12.32,41,407,2.14,1838,16.12,1558,564,4211,0.236,1558,13.67,110,0.96,1838,16.12
South Alabama,25,7,0.781,116,198,1.71,1395,12.03,77,397,2.38,1848,15.93,1515,556,4093,0.234,1515,13.06,198,1.71,1848,15.93
South Carolina,14,15,0.483,103,130,1.26,1192,11.57,70,333,2.3,1243,12.07,1303,480,3385,0.243,1303,12.65,130,1.26,1243,12.07
South Carolina St.,0,24,0,73,82,1.12,435,5.96,17,82,0.79,675,9.25,477,446,1968,0.016,477,6.53,82,1.12,675,9.25
South Dakota,20,10,0.667,116,173,1.49,1415,12.2,70,375,2.22,1756,15.14,1531,536,3957,0.251,1531,13.2,173,1.49,1756,15.14
South Dakota St.,19,12,0.613,118,176,1.49,1345,11.4,53,386,2.08,1692,14.34,1485,588,4123,0.218,1485,12.58,176,1.49,1692,14.34
South Fla.,7,24,0.226,117,174,1.49,1262,10.79,59,365,2.06,1606,13.73,1389,711,4143,0.164,1389,11.87,174,1.49,1606,13.73
